STT,Name,URL,Category,Style,Description,Best Features,Tech Stack
1,Stripe,stripe.com,Fintech,Modern Clean,"Industry standard for SaaS design","Gradients, animations, clear typography","React, Custom"
2,Linear,linear.app,SaaS,Dark Mode,"Minimal, fast, and productive management tool","Subtle gradients, micro-interactions, dark mode","React, Next.js"
3,Apple,apple.com,E-commerce,Minimal Premium,"The gold standard for product showcases","Large imagery, scroll animations, white space","Custom"
4,Airbnb,airbnb.com,Marketplace,Clean Friendly,"User-centric design with focus on imagery","Search interface, map integration, rounded corners","React, Next.js"
5,Vercel,vercel.com,DevTools,Modern Dark,"Developer-first design with clean dark mode","Geometrics, glows, dashboard blocks","Next.js"
6,Loom,loom.com,SaaS,Playful Professional,"Video messaging tool with approachable brand","Vibrant colors, rounded shapes, clear CTAs","React"
7,Framer,framer.com,Design Tool,Creative,"Design tool site showcasing its own capabilities","Scroll effects, interactive canvas, bold type","React"
8,Gumroad,gumroad.com,E-commerce,Neubrutalism,"Bold, quirky, and creator-focused","Black borders, vibrant colors, flat design","React"
9,Notion,notion.so,Productivity,Minimal Functional,"Clean workspace aesthetic","Emoji icons, drag-and-drop UI, clean text","React"
10,Raycast,raycast.com,Productivity,Dark Neon,"Command bar tool with speed focus","Keyboard shortcuts, dark mode red accents","React"
11,Spotify,spotify.com,Entertainment,Dark Colorful,"Music streaming giant with immersive dark mode","Album art focus, gradient overlays, dark theme","React"
12,Duolingo,duolingo.com,Education,Gamified,"Language learning with heavy gamification","Character illustrations, progress bars, bright colors","React"
13,Netflix,netflix.com,Entertainment,Cinematic,"Video streaming interface standards","Horizontal scrolling, hero video, dark background","React"
14,Discord,discord.com,Social,Playful Dark,"Chat platform for communities","Playful illustrations, dark theme, interactive elements","React"
15,Slack,slack.com,SaaS,Professional Friendly,"Team communication platform","Purple/white theme, clean sidebar, message clarity","React"
16,Mailchimp,mailchimp.com,Marketing,Quirky Serif,"Email marketing with distinctive brand voice","Serif typography, yellow branding, hand-drawn sketches","React"
17,Shopify,shopify.com,E-commerce,Professional Clean,"E-commerce platform for everyone","Clean dashboard, green accents, simple layout","React"
18,Webflow,webflow.com,Design Tool,Visual,"No-code website builder","Interface-heavy, visual editor, interaction showcase","React"
19,Figma,figma.com,Design Tool,Collaborative,"Multiplayer design interface","Canvas-centric, colorful cursors, sidebar controls","React, WebGL"
20,Intercom,intercom.com,SaaS,Friendly Modern,"Customer service platform","Smiling faces, chat bubbles, clean blues","React"
21,Grammarly,grammarly.com,Utility,Clean Trust,"Writing assistant with focus on clarity","Green/grey palette, floating suggestions, minimal","React"
22,Dropbox,dropbox.com,Utility,Clean Artistic,"File storage with artistic flair","Muted colors, artistic illustrations, clean grids","React"
23,Zoom,zoom.us,Communication,Functional,"Video conferencing standard","Blue branding, grid view, simple controls","React"
24,Typeform,typeform.com,SaaS,Conversational,"Form builder with one-question-at-a-time","Large typography, smooth transitions, minimal interface","React"
25,Nike,nike.com,E-commerce,Bold Sporty,"Sports retail standard","Big photography, bold fonts, minimal navigation","Next.js"
26,Tesla,tesla.com,Automotive,Futuristic Minimal,"Electric car showcase","Full-screen video, minimal overlay text, clean configure","Custom"
27,Retool,retool.com,DevTools,Technical,"Internal tool builder","Dashboards, blocks, data grids, functional UI","React"
28,Supabase,supabase.com,DevTools,Dark Green,"Open source Firebase alternative","Dark mode, green accents, code blocks","Next.js"
29,Algolia,algolia.com,SaaS,Modern Search,"Search API provider","Search bar focus, fast results, clean blues","React"
30,Twilio,twilio.com,SaaS,Developer Red,"Communication API","Red branding, code snippets, geometric patterns","React"
31,Auth0,auth0.com,DevTools,Secure Professional,"Authentication platform","Shield motifs, black/orange theme, code integration","React"
32,Heroku,heroku.com,DevTools,Classic Purple,"Cloud application platform","Purple branding, simple dashboard, pipeline view","Ember/React"
33,Wise,wise.com,Fintech,Bright Green,"Money transfer service","Bright green, currency converter, clean forms","React"
34,Revolut,revolut.com,Fintech,App-like,"Banking alternative","White/Black clean, rounded cards, mobile-first","React"
35,Monzo,monzo.com,Fintech,Colorful,"Digital bank","Coral card color, friendly tone, simple charts","React"
36,Wealthsimple,wealthsimple.com,Fintech,Elegant Gold,"Investment platform","Gold/Black premium feel, simple graphs, white space","React"
37,Robinhood,robinhood.com,Fintech,Neon Green,"Stock trading app","Green/Red live data, dark mode, gamified","React"
38,Salesforce,salesforce.com,SaaS,Enterprise Blue,"CRM giant","Cloud motifs, blue branding, dense data","Lightning"
39,HubSpot,hubspot.com,SaaS,Orange Friendly,"Marketing platform","Orange branding, clean cards, friendly illustrations","React"
40,Zendesk,zendesk.com,SaaS,Geometric shapes,"Help desk software","Geometric shapes, muted colors, clean layout","React"
41,Asana,asana.com,Productivity,Colorful Gradients,"Project management","Unicorn animations, colorful tags, list views","React"
42,Monday,monday.com,Productivity,Color-coded,"Work OS","Bright status colors, table views, clean interaction","React"
43,Trello,trello.com,Productivity,Card-based,"Kanban style standard","Blue background, white cards, drag-and-drop","React"
44,Basecamp,basecamp.com,Productivity,Text-heavy,"Project management classic","Serif headings, yellow highlights, document focus","Rails"
45,Ghost,ghost.org,Publishing,Minimal Dark,"Modifyable CMS","Clean writing interface, dark dashboard, analytics","Ember.js"
46,Medium,medium.com,Publishing,Minimal Reader,"Reading platform","Serif fonts, white space, floating headers","React"
47,Substack,substack.com,Publishing,Orange Minimal,"Newsletter platform","Orange accent, clean lists, simple profile","React"
48,Patreon,patreon.com,Social,Creator-focused,"Membership platform","Coral branding, creator cards, tiered layout","React"
49,Twitch,twitch.tv,Entertainment,Purple Gamer,"Live streaming","Purple branding, dark mode, chat overlay, grid","React"
50,Arc Browser,arc.net,Browser,Gradient Glass,"New browser experience","No chrome, sidebar, gradients, glass effect","Swift/React"
69,John Deere,deere.com,Agriculture,Industrial Modern,"Leading agriculture equipment manufacturer","Bold green/yellow branding, large imagery, clean grids","Adobe Experience Manager"
70,Yara International,yara.com,Agriculture,Sustainable Clean,"Crop nutrition company","Nature-inspired colors, minimalist layout, focus on sustainability","Optimizely"
71,Plenty,plenty.ag,Agriculture,Modern Vertical,"Vertical farming tech company","Vibrant greens, bold typography, futuristic feel","Custom"
72,Indigo Ag,indigoag.com,Agriculture,Tech Agri,"Ag-tech marketplace","Clean data visualization, professional blue/green palette, tech-forward","React"
73,Farmers Edge,farmersedge.ca,Agriculture,Data-Driven,"Digital agriculture solutions","Dashboard-style elements, satellite imagery, precision farming focus","WordPress"
74,Tend,tend.com,Dentist,Modern Friendly,"Tech-first dental studio chain","Pastel colors, rounded shapes, welcoming photography, booking focus","React"
75,Beam,beam.dental,Dentist,Insurance Tech,"Digital dental insurance","Bright blue branding, brush script accents, gamified app showcase","Webflow"
76,Quip,getquip.com,Dentist,E-commerce Clean,"Oral care subscription","Minimalist product showcase, metallic accents, clean white space","React"
77,Zocdoc,zocdoc.com,Healthcare,Search Directories,"Medical appointment booking","Search-centric hero, yellow accents, doctor profiles, trust signals","React"
78,Dandy,meetdandy.com,Dentist,B2B Tech,"Digital dental lab for practices","Professional dark mode options, 3D scanner showcases, sleek animation","Webflow"
79,Stratex,stratex.framer.website,Agency Landing,Minimal Professional Modern,"Consulting agency template with polished high-converting layout","Sticky scroll, Smooth animations, SEO-friendly, Impact stats section, Process flow","Framer"
80,FlowSpace,flowspace.framer.website,Coworking Real Estate,Modern Minimal Light,"Coworking space website with CMS locations system","CMS Locations with filters, Sticky scroll cards, Tour booking CTAs, FAQ section","Framer"
81,Wallet,wallet.framer.website,App Web3 Startup,Modern Bold Dark,"Web3 mobile app landing page with sleek animations","High-quality visuals, Conversion-focused CTAs, Sticky scrolling, CMS","Framer"
82,Artify,artify.framer.website,AI SaaS App,Modern Clean,AI image generator landing page with premium design,"Image showcase section, Feature blocks, Testimonial & FAQ, Bold CTAs","Framer"
83,Cryptix,cryptix.framer.website,Crypto SaaS Web3,Dark Minimal Modern,"Crypto exchange template for DeFi and fintech","Sleek minimalist design, Market data showcase, Trust-building hero, Responsive fast","Framer"
84,Remote,remote.framer.website,Startup SaaS App,Modern Colorful Light,"100% editable SaaS template with 13 pages and 50+ sections","Modular sections, CMS, Overlays & Modals, Premium aesthetics, Start Here guide","Framer"
85,Splash,splash.framer.website,Car Auto Services,Colorful Modern Professional,"Car wash services template with CMS for services and blog","12+ pages, Services CMS, Blog CMS, Careers CMS, Variable fonts, Smooth animations","Framer"
86,Outnex,outnex.webflow.io,SaaS AI Marketing,Modern Sleek Dark,"Cold email & lead generation template with AI focus for SaaS startups","Smooth animations, CMS collections (Blog/Career/Integration), Pricing toggle, FAQ accordion, 15+ pages, Figma included","Webflow"
87,Congra,congra-temlis.webflow.io,Events Conference Startup,Bold Dark Gradient,"Tech conference & event template with speakers CMS and schedule","CMS Speakers, Event schedule/itinerary, Pricing tiers, Stats counter, Contact form, Dark gradient aesthetic, Smooth animations","Webflow"
88,Ritovex,ritovex.webflow.io,Creative Agency Portfolio,Modern Dark Bold,"Creative digital agency template with portfolio showcase and services","Dark mode styling, Bold typography, CMS Portfolio/Blog/Team, E-commerce ready, 3-step process, Testimonial carousel, Video demo, 18+ pages, Figma included","Webflow"
