STT,API,Type,Keywords,Code Example,Props/Options,Best For,Notes,Docs URL
1,motion component,Core,"motion, div, component, animate","<motion.div animate={{ x: 100 }} />","animate, initial, exit, transition, variants, whileHover, whileTap, whileInView, whileDrag, whileFocus, layout, layoutId",All animations,Core building block,https://motion.dev/docs/react-motion-component
2,animate prop,Animation,"animate, target, values","<motion.div animate={{ opacity: 1, scale: 1.5 }} />","object with CSS properties, MotionValue, or variant name",Target state animation,Can use keyframes arrays,https://motion.dev/docs/react-animation
3,initial prop,Animation,"initial, start, enter","<motion.div initial={{ opacity: 0 }} animate={{ opacity: 1 }} />","object with CSS values, false to disable enter animation, or variant name",Enter animations,Set initial={false} to skip enter,https://motion.dev/docs/react-animation
4,exit prop,Animation,"exit, leave, remove","<motion.div exit={{ opacity: 0, scale: 0 }} />","object with CSS values",Exit animations,Requires AnimatePresence parent,https://motion.dev/docs/react-animate-presence
5,transition prop,Transition,"transition, duration, spring, ease","<motion.div animate={{ x: 100 }} transition={{ duration: 0.5, ease: 'easeOut' }} />","duration, delay, ease, type (spring/tween/inertia), stiffness, damping, mass, bounce, restSpeed",Control animation timing,Spring is default for transforms,https://motion.dev/docs/react-transitions
6,whileHover,Gesture,"hover, mouse, pointer","<motion.button whileHover={{ scale: 1.1 }} />","object with animate values, transition override",Hover effects,Better than CSS hover,https://motion.dev/docs/react-hover-animation
7,whileTap,Gesture,"tap, press, click","<motion.button whileTap={{ scale: 0.95 }} />","object with animate values",Press/click effects,Keyboard accessible with Enter,https://motion.dev/docs/react-gestures
8,whileFocus,Gesture,"focus, keyboard, a11y","<motion.input whileFocus={{ scale: 1.05, borderColor: '#8b5cf6' }} />","object with animate values",Focus states,Uses :focus-visible rules,https://motion.dev/docs/react-gestures
9,whileInView,Scroll,"scroll, viewport, reveal","<motion.div initial={{ opacity: 0 }} whileInView={{ opacity: 1 }} />","object with animate values",Scroll-triggered,Use viewport prop for options,https://motion.dev/docs/react-scroll-animations
10,whileDrag,Drag,"drag, move, draggable","<motion.div drag whileDrag={{ scale: 1.1 }} />","object with animate values",Drag feedback,Combine with drag prop,https://motion.dev/docs/react-drag
11,drag prop,Drag,"drag, axis, constraints","<motion.div drag='x' dragConstraints={{ left: 0, right: 300 }} />","true, 'x', 'y', dragConstraints, dragElastic, dragMomentum",Draggable elements,Use ref for container constraints,https://motion.dev/docs/react-drag
12,layout prop,Layout,"layout, resize, position","<motion.div layout />","true, 'position', 'size'",Automatic layout animation,Animates position/size changes,https://motion.dev/docs/react-layout-animations
13,layoutId,Layout,"shared, morph, transition","<motion.div layoutId='box' />","unique string identifier",Shared element transitions,Cross-component morphing,https://motion.dev/docs/react-layout-animations
14,variants,Orchestration,"variants, stagger, children","const variants = { hidden: { opacity: 0 }, visible: { opacity: 1 } }; <motion.div variants={variants} initial='hidden' animate='visible' />","object with named animation states, can include transition",Reusable animation definitions,Propagate to children automatically,https://motion.dev/docs/react-animation
15,stagger function,Orchestration,"stagger, sequence, delay","transition: { delayChildren: stagger(0.1) }","stagger(duration, options?)",Stagger child animations,Use in parent variant transition,https://motion.dev/docs/react-transitions
16,AnimatePresence,Component,"presence, exit, mount","<AnimatePresence>{show && <motion.div key='modal' exit={{ opacity: 0 }} />}</AnimatePresence>","mode ('sync'|'wait'|'popLayout'), initial, onExitComplete",Exit animations,Wrap conditional renders,https://motion.dev/docs/react-animate-presence
17,LayoutGroup,Component,"layout, group, sync","<LayoutGroup><motion.div layout /><motion.div layout /></LayoutGroup>","id (optional)",Sync layout animations,Prevents layout thrash,https://motion.dev/docs/react-layout-group
18,MotionConfig,Component,"config, default, global","<MotionConfig transition={{ duration: 0.3 }}><App /></MotionConfig>","transition, reducedMotion",Set defaults for tree,Wrap app or section,https://motion.dev/docs/react-motion-config
19,LazyMotion,Component,"lazy, bundle, size","<LazyMotion features={domAnimation}><App /></LazyMotion>","features (domAnimation|domMax), strict",Reduce bundle size,Use m.div instead of motion.div,https://motion.dev/docs/react-lazy-motion
20,Reorder,Component,"reorder, sort, drag","<Reorder.Group values={items} onReorder={setItems}>{items.map(item => <Reorder.Item key={item} value={item} />)}</Reorder.Group>","values, onReorder, axis",Drag to reorder lists,Handles layout animations,https://motion.dev/docs/react-reorder
21,useAnimate,Hook,"imperative, control, ref","const [scope, animate] = useAnimate(); animate(scope.current, { x: 100 });","returns [scope, animate]",Imperative animations,External trigger control,https://motion.dev/docs/react-use-animate
22,useScroll,Hook,"scroll, progress, position","const { scrollY, scrollYProgress } = useScroll(); return <motion.div style={{ scaleX: scrollYProgress }} />","scrollX, scrollY, scrollXProgress, scrollYProgress, target, offset",Scroll-linked values,Returns MotionValues,https://motion.dev/docs/react-use-scroll
23,useTransform,Hook,"transform, map, range","const opacity = useTransform(scrollYProgress, [0, 1], [0, 1]);","input MotionValue, input range[], output range[]",Map value to another,Link scroll to any prop,https://motion.dev/docs/react-use-transform
24,useSpring,Hook,"spring, physics, smooth","const springValue = useSpring(motionValue, { stiffness: 100, damping: 10 });","MotionValue, spring config",Smooth following,Physics-based smoothing,https://motion.dev/docs/react-use-spring
25,useInView,Hook,"inview, viewport, observe","const ref = useRef(); const isInView = useInView(ref, { once: true });","ref, options (margin, amount, once)",Detect viewport entry,Returns boolean,https://motion.dev/docs/react-use-in-view
26,useMotionValue,Hook,"value, reactive, track","const x = useMotionValue(0); return <motion.div style={{ x }} />;","initial value",Create reactive value,No re-renders on change,https://motion.dev/docs/react-motion-value
27,useMotionTemplate,Hook,"template, string, combine","const bg = useMotionTemplate\`rgba(255, 255, 255, \${opacity})\`;","template literal with MotionValues",Combine values to string,For complex CSS values,https://motion.dev/docs/react-use-motion-template
28,useReducedMotion,Hook,"a11y, reduced, motion","const prefersReduced = useReducedMotion();","none",Accessibility check,Respect user preferences,https://motion.dev/docs/react-use-reduced-motion
29,useVelocity,Hook,"velocity, speed, momentum","const xVelocity = useVelocity(x);","MotionValue",Track value velocity,For physics effects,https://motion.dev/docs/react-use-velocity
30,useAnimationFrame,Hook,"frame, loop, tick","useAnimationFrame((time, delta) => { /* update */ });","callback (time, delta)",Per-frame updates,Use for custom animations,https://motion.dev/docs/react-use-animation-frame
31,keyframes,Animation,"keyframes, sequence, array","<motion.div animate={{ x: [0, 100, 50, 100] }} />","array of values, use null for current",Multi-step animations,First null = current value,https://motion.dev/docs/react-animation
32,spring transition,Transition,"spring, bounce, physics","transition={{ type: 'spring', stiffness: 100, damping: 10 }}","stiffness, damping, mass, bounce, duration, velocity",Physics animation,Default for transforms,https://motion.dev/docs/react-transitions
33,tween transition,Transition,"tween, ease, duration","transition={{ type: 'tween', duration: 0.5, ease: 'easeInOut' }}","duration, ease, times (for keyframes)",Time-based animation,Default for colors/opacity,https://motion.dev/docs/react-transitions
34,inertia transition,Transition,"inertia, decelerate, throw","transition={{ type: 'inertia', velocity: 50 }}","velocity, power, timeConstant, modifyTarget",Momentum animation,For drag release,https://motion.dev/docs/react-transitions
35,transform shortcuts,Animation,"x, y, scale, rotate","<motion.div animate={{ x: 100, y: 50, scale: 1.5, rotate: 45 }} />","x, y, z, scale, scaleX, scaleY, rotate, rotateX, rotateY, rotateZ, skew, skewX, skewY",Independent transforms,Animate each axis separately,https://motion.dev/docs/react-animation
36,AnimateNumber,Premium,"number, count, ticker","<AnimateNumber value={1000} />","value, format, transition",Animated counters,Premium feature,https://motion.dev/docs/react-animate-number
37,Carousel,Premium,"carousel, slider, swipe","<Carousel items={items} />","items, renderItem, gap, loop",Touch carousels,Premium feature,https://motion.dev/docs/react-carousel
38,Cursor,Premium,"cursor, pointer, custom","<Cursor />","size, color, mix",Custom cursors,Premium feature,https://motion.dev/docs/cursor
39,Ticker,Premium,"ticker, marquee, scroll","<Ticker speed={50}>{items}</Ticker>","speed, direction, pauseOnHover",Marquee effect,Premium feature,https://motion.dev/docs/react-ticker
40,Typewriter,Premium,"typewriter, typing, text","<Typewriter text='Hello World' />","text, speed, cursor",Typing animation,Premium feature,https://motion.dev/docs/react-typewriter
41,viewport prop,Scroll,"viewport, once, margin","<motion.div whileInView={{ opacity: 1 }} viewport={{ once: true, margin: '-100px' }} />","once, margin, amount, root",Viewport detection config,Combine with whileInView,https://motion.dev/docs/react-scroll-animations
42,onAnimationStart,Event,"event, start, callback","<motion.div animate={{ x: 100 }} onAnimationStart={() => console.log('started')} />","callback function",Animation lifecycle,Fires when animation starts,https://motion.dev/docs/react-motion-component
43,onAnimationComplete,Event,"event, complete, callback","<motion.div animate={{ x: 100 }} onAnimationComplete={() => console.log('done')} />","callback function",Animation lifecycle,Fires when animation ends,https://motion.dev/docs/react-motion-component
